STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",1/1/2000,0,61,,47
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",1/2/2000,0,61,,51
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",1/3/2000,0,60,65,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",1/4/2000,,56,60,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",1/5/2000,0.22,55,,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",1/6/2000,0,57,,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",1/7/2000,0.08,54,58,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",1/8/2000,0.28,53,57,50
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",1/9/2000,0,55,59,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",1/10/2000,0.04,55,61,45
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",1/11/2000,0.04,57,61,51
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",1/12/2000,0.08,55,,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",1/13/2000,0,54,63,46
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",1/14/2000,0,54,61,44
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",1/15/2000,,57,,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",1/16/2000,0.12,55,63,49
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",1/17/2000,0.01,56,,46
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",1/18/2000,0.28,55,59,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",1/19/2000,0.39,56,,52
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",1/20/2000,0.16,56,,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",1/21/2000,0.2,53,58,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",1/22/2000,0.08,54,62,45
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",1/23/2000,0.08,54,63,42
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",1/24/2000,0,58,,44
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",1/25/2000,,60,65,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",1/26/2000,0.02,58,,
